Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Base7_TestSuite1,Chrome 69.0.3497.100,,2018-10-23 21:33:13,2018-10-23 21:33:54,40.811s,PASSED
,,,,,,
Test Cases/Base7_Login_Calender,Chrome 69.0.3497.100,,2018-10-23 21:33:14,2018-10-23 21:33:28,13.718s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-23 21:33:15,2018-10-23 21:33:20,5.082s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-23 21:33:20,2018-10-23 21:33:27,6.984s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 21:33:27,2018-10-23 21:33:27,0.628s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 21:33:27,2018-10-23 21:33:28,0.344s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 21:33:28,2018-10-23 21:33:28,0.212s,PASSED
,,,,,,
Test Cases/Base7_Reservations,Chrome 69.0.3497.100,,2018-10-23 21:33:28,2018-10-23 21:33:41,13.008s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-23 21:33:28,2018-10-23 21:33:38,9.515s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 21:33:38,2018-10-23 21:33:40,2.452s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 21:33:40,2018-10-23 21:33:41,0.832s,PASSED
,,,,,,
Test Cases/Base7_Settings,Chrome 69.0.3497.100,,2018-10-23 21:33:41,2018-10-23 21:33:53,12.560s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-23 21:33:41,2018-10-23 21:33:49,8.079s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 21:33:49,2018-10-23 21:33:52,2.552s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 21:33:52,2018-10-23 21:33:52,0.517s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 21:33:52,2018-10-23 21:33:53,1.208s,PASSED
